dms.h:44:  #ifndef header guard has wrong style, please use: DMS_H_  [build/header_guard] [5]
dms.h:137:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:139:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:140:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:143:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:145:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:145:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:146:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:149:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:150:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:151:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:153:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
dms.h:154:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:155:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:159:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:160:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:163:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:164:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:170:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:171:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:171:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:172:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:175:  Missing username in TODO; it should look like "// TODO(my_username): Stuff."  [readability/todo] [2]
dms.h:176:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:180:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:181:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:185:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:187:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:188:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:192:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:193:  Too many spaces before TODO  [whitespace/todo] [2]
dms.h:193:  Missing username in TODO; it should look like "// TODO(my_username): Stuff."  [readability/todo] [2]
dms.h:194:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:195:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:197:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:200:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:201:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:204:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:205:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:206:  Namespace should be terminated with "// namespace DMS"  [readability/namespace] [5]
dms.h:206:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:172:  Add #include <string> for string  [build/include_what_you_use] [4]
dms.h:192:  Add #include <algorithm> for min  [build/include_what_you_use] [4]
Done processing dms.h
Total errors found: 100
